,preproc_label,model_label,método,parámetros,columnas_out,auc_train,auc_val,threshold,f1_train,f1_val
25,preprocess_v2_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'saga'}",,0.7860317938672492,0.7729535032102832,1.0,0.7963573784597735,0.3480257116620753
26,preprocess_v2,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'saga'}",,0.5010712372790573,0.5016059957173448,0,0.15695670449768812,0.1570275722932078
27,preprocess_v2_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'saga'}",,0.7134440278521694,0.7119408269265756,1,0.7227260948432236,0.2868920032976093
28,preprocess_v1_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7822970682090149,0.7857516085581358,1,0.7922638659260405,0.3569961196073956
29,preprocess_v1_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.5914488174074944,0.6067854760418152,1.0,0.3106256206554121,0.3341288782816229
30,preprocess_v1_smote50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7964698843238931,0.78381239168444,1.0,0.8079194409806366,0.35783633841886264
31,preprocess_v1_smoteTomek20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.5948977109288619,0.6045706924252351,1.0,0.3185110888220216,0.3314378554021121
32,preprocess_v1_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7999949772721565,0.7856178289654064,1.0,0.8112840927940097,0.3593063583815029
33,preprocess_v1,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.546731965173465,0.5572043887393671,1,0.17093607852525736,0.2045028142589118
34,preprocess_v1_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7583020889126942,0.7579348488045037,1,0.7742338961851157,0.31950464396284833
35,preprocess_v2_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7820851615476665,0.7861872196821063,1,0.7922124230394371,0.3572080291970803
36,preprocess_v2_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.5911994968065979,0.6068851968236262,1.0,0.3099263974537498,0.33466135458167334
37,preprocess_v2_smote50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7965446749102512,0.783675942905902,1.0,0.8080713059429457,0.3581190641649294
38,preprocess_v2_smoteTomek20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.5945031472095692,0.6040353605194535,1.0,0.31743549648162633,0.3300813008130082
39,preprocess_v2_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7999321931741129,0.7852950710174254,1.0,0.8113522537562604,0.3597957288765088
40,preprocess_v2,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.5468658698333472,0.557304109521178,1,0.17137386309238872,0.20488721804511278
41,preprocess_v2_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'liblinear'}",,0.7593733261917515,0.7596038373069325,1,0.7750657153586181,0.32099276111685626
42,preprocess_v1_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.7777473075388912,0.7808523713900863,1,0.785382411709478,0.3580131208997188
43,preprocess_v1_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.5840067376292778,0.6007735086938585,1.0,0.2899726249619791,0.3216326530612245
44,preprocess_v1_smote50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.7921818907060232,0.7825108966841452,1.0,0.801604112621082,0.36135448733128106
45,preprocess_v1_smoteTomek20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.5867058548716135,0.5952470128607777,1.0,0.296127562642369,0.30962343096234307
46,preprocess_v1_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.794457419824707,0.7823114551205234,1.0,0.8036324811957918,0.3610125384433404
47,preprocess_v1,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.5376453362294199,0.5420287862080393,0,0.15695670449768812,0.1570275722932078
48,preprocess_v1_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.7430369576861274,0.7408413828859494,1,0.7457941449198568,0.3220648698035633
49,preprocess_v2_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.7760021938571999,0.7810386805595296,1,0.7834783237342459,0.3578110383536015
50,preprocess_v2_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.5838945455342841,0.600823369084764,1.0,0.2896551724137931,0.32189542483660133
51,preprocess_v2_smote50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.792107100119665,0.7810676145336954,1.0,0.8016318568913839,0.3609988109393579
52,preprocess_v2_smoteTomek20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.5868126572713729,0.5951971524698724,1.0,0.29640616086708504,0.3093645484949833
53,preprocess_v2_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.7948090107737513,0.7824741686874183,1.0,0.8040999820176228,0.3618233618233619
54,preprocess_v2,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.537486501374085,0.5415433146931632,0,0.15695670449768812,0.1570275722932078
55,preprocess_v2_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l2', 'random_state': 2020, 'solver': 'saga'}",,0.7443760042849491,0.7422742018280293,1,0.746984758117959,0.32377894978216004
